Title,Note,URL,Comment
Sonder Henri on 24,,https://www.google.com/maps/place/Sonder+Henri+on+24/data=!4m2!3m1!1s0x89c259a44ff71467:0x430a937be09a7c5d,
Arlo NoMad,,https://www.google.com/maps/place/Arlo+NoMad/data=!4m2!3m1!1s0x89c259a86ec13155:0x4f1fd7143bc6b3e7,
International Center of Photography Museum,,https://www.google.com/maps/place/International+Center+of+Photography+Museum/data=!4m2!3m1!1s0x89c25985ea5c84e5:0xfbebd1a658b81071,
Michaeli Bakery,,https://www.google.com/maps/place/Michaeli+Bakery/data=!4m2!3m1!1s0x89c259a2f280ebc5:0x2ef8ce04e7901d9d,
Do Not Feed Alligators,,https://www.google.com/maps/place/Do+Not+Feed+Alligators/data=!4m2!3m1!1s0x89c259dd79e772c7:0xc06459a9de4a951e,
La Cabra Bakery,,https://www.google.com/maps/place/La+Cabra+Bakery/data=!4m2!3m1!1s0x89c259e94678df4f:0x6dddc4c5f900a76,
Librae Bakery,,https://www.google.com/maps/place/Librae+Bakery/data=!4m2!3m1!1s0x89c25943f1ac200f:0x35eadc7fbe1dd768,
Hyatt House New York/Chelsea,,https://www.google.com/maps/place/Hyatt+House+New+York%2FChelsea/data=!4m2!3m1!1s0x89c259a58a03db1b:0xad11647e9a75c380,
Nike Soho,,https://www.google.com/maps/place/Nike+Soho/data=!4m2!3m1!1s0x89c2598ec837b4db:0xe3895c1e61c09ad3,
Joe's Pizza Broadway,,https://www.google.com/maps/place/Joe's+Pizza+Broadway/data=!4m2!3m1!1s0x89c259ab3c1ef289:0x3b67a41175949f55,
John's of Bleecker Street,,https://www.google.com/maps/place/John's+of+Bleecker+Street/data=!4m2!3m1!1s0x89c25993a1376eb9:0x41ca6e3a2f6d4e74,
Joe's Pizza,,https://www.google.com/maps/place/Joe's+Pizza/data=!4m2!3m1!1s0x89c259924a960df1:0x43b20488619b3f43,
"Levain Bakery â€“ Original Location, 74th St, NYC",,"https://www.google.com/maps/place/Levain+Bakery+%E2%80%93+Original+Location,+74th+St,+NYC/data=!4m2!3m1!1s0x89c25889849e29e9:0x95599b59c678ed68",
Orwashers Bakery,,https://www.google.com/maps/place/Orwashers+Bakery/data=!4m2!3m1!1s0x89c258bf3e3ed213:0xb57420c1ee368c7a,
Mah-Ze-Dahr Bakery,,https://www.google.com/maps/place/Mah-Ze-Dahr+Bakery/data=!4m2!3m1!1s0x89c2599687c64457:0x872123183f7a744e,
The Doughnut Project,,https://www.google.com/maps/place/The+Doughnut+Project/data=!4m2!3m1!1s0x89c25993a9e3bb8d:0xe7d2313531697c45,
Dough Doughnuts,,https://www.google.com/maps/place/Dough+Doughnuts/data=!4m2!3m1!1s0x89c25b95afd60215:0xe10552c10c47bb9d,
Brooklyn Bridge,,https://www.google.com/maps/place/Brooklyn+Bridge/data=!4m2!3m1!1s0x89c25a2343ce7b2b:0x2526ddba7abd465c,
The High Line,,https://www.google.com/maps/place/The+High+Line/data=!4m2!3m1!1s0x89c259c7840fb4e5:0x583f615c850a3c91,
Partners Coffee,,https://www.google.com/maps/place/Partners+Coffee/data=!4m2!3m1!1s0x89c25955d874e5ed:0xc4e95afd217e6dbe,
Partners Coffee,,https://www.google.com/maps/place/Partners+Coffee/data=!4m2!3m1!1s0x89c25994462de15d:0xed701c2f80d71d88,
Cafe Grumpy - Rockefeller Center,,https://www.google.com/maps/place/Cafe+Grumpy+-+Rockefeller+Center/data=!4m2!3m1!1s0x89c259db0b15ce5b:0x6f8eb0998d960235,
Ten Thousand Coffee,,https://www.google.com/maps/place/Ten+Thousand+Coffee/data=!4m2!3m1!1s0x89c259ea0e6d39f9:0x5ce07a69de5ef70d,
The Time New York,,https://www.google.com/maps/place/The+Time+New+York/data=!4m2!3m1!1s0x89c2585665732319:0xadb5632d263a6c25,